2018-04,408
2018-05,408
2018-07,136
2018-12,272
2019-07,952
2019-08,680
2019-10,680
2019-11,272
2019-12,2041
2020-01,680
2020-02,5714
2020-03,17822
2020-04,26390
2020-05,11016
2020-06,21491
2020-07,9798
2020-08,14420
2020-09,43531
2020-10,7486
2020-11,142114
2020-12,90140
2021-01,28436
2021-02,35105
2021-03,20686
2021-04,62647
2021-05,33493
2021-06,37302
2021-07,43832
2021-08,157106
2021-09,117122
2021-10,150988
2021-11,135175
2021-12,164032
2022-01,107996
2022-02,114509
2022-03,304492
2022-04,75632
2022-05,170760
2022-06,154513
2022-07,71708
2022-08,147322
2022-09,92034
2022-10,118043
2022-11,68141
2022-12,126196
2023-01,62143
2023-02,141700
2023-03,214049
2023-04,131590
2023-05,278289
2023-06,263121
2023-07,182920
2023-08,347241
2023-09,129952
2023-10,295464
2023-11,428785
2023-12,226497
2024-01,206373
2024-02,2184850
2024-03,589459
2024-04,75091
2024-05,64159
2024-06,94956
2024-07,98553
2024-08,119136
2024-09,118552
2024-10,127885
2024-11,172924
2024-12,129504
2025-01,308243
2025-02,262502
2025-03,327436
2025-04,6741484
2025-05,1002552
2025-06,436478
2025-07,1380252
2025-08,370310
2025-09,243873
2025-10,301913
2025-11,4181561
2025-12,8213247
2026-01,12782583
2026-02,7698206
2026-03,9723162
2026-04,8990551
2026-05,8227472
2026-06,8215659
2026-07,1291425
